Storm Name	State	Disaster Number
Helene	South Carolina	4829
Helene	Georgia	4830
Milton	Florida	4834
Beryl	Texas	4798
Fiona	Puerto Rico	4671
Helene	North Carolina	4827
Debby	Georgia	4821
Helene	Florida	4828
Helene	Tennessee	4832
Matthew	Georgia	4284
Helene	Virginia	4831
Michael	Georgia	4400
Maria	Puerto Rico	4040
Gustav	Louisiana	1786
Ian	Florida	4673
Debby	Florida	4806
Wilma	Florida	1609
Francine	Louisiana	4817
Ike	Texas	1791
Matthew	Florida	4283
Idalia	Georgia	4738
Irene	Puerto Rico	4017
Ian	South Carolina	4677
Charley	Florida	1539
Dennis	Florida	1595
Isaac	Louisiana	4080
Delta	Louisiana	4570
Dennis	Alabama	1593
Zeta	Louisiana	4577
Matthew	South Carolina	4286
Florence	North Carolina	4393
Laura	Louisiana	4559
Nicole	Florida	4680
Isabel	Virginia	1491
Gustav	Mississippi	1794
Isaac	Mississippi	4081
Irma	Georgia	4338
Sally	Florida	4564
Irma	Florida	4337
Idalia	Florida	4734
Harvey	Texas	4332
Ivan	Louisiana	1548
Frances	Florida	1545
Ike	Louisiana	1792
Zeta	Mississippi	4576
Irene	North Carolina	4019
Maria	Puerto Rico	4339
Michael	Florida	4399
Ida	Louisiana	4611
Isabel	North Carolina	1490
Matthew	North Carolina	4285
Dolly	Texas	1780
Typhoon Mawar	Guam	4715
Florence	South Carolina	4394
Ida	Pennsylvania	4618
Sally	Alabama	4563
Ida	Mississippi	4626
Jeanne	Florida	1561
Ivan	Florida	1551
Irene	Pennsylvania	4025
Sandy	Connecticut	4087
Zeta	Alabama	4573
Irma	Puerto Rico	4336
Hermine	Florida	4280
Katrina	Alabama	1605
Sandy	New Jersey	4086
Frances	South Carolina	1566
Maria	Virgin Islands	4340
Fred	North Carolina	4617
Ivan	Mississippi	1550
Isabel	Washington, DC	1493
Ivan	Alabama	1549
Matthew	Virginia	4291
Irene	Connecticut	4023
Ida	New York	4615
Irma	Virgin Islands	4335
Katrina	Mississippi	1604
Gita	American Samoa	4357
Claudette	Texas	1479
Alex	Texas	1931
Frances	North Carolina	1546
Sandy	Maryland	4091
Ivan	Georgia	1554
Ida	New Jersey	4614
Sandy	New York	4085
Isabel	Maryland	1492
Ida	Connecticut	4629
Rita	Louisiana	1607
Irene	New York	4020
Irene	New Jersey	4021
Rita	Texas	1606
Ivan	North Carolina	1553
Katrina	Louisiana	1603
Irene	Vermont	4022
Ivan	Pennsylvania	1557
Ivan	Pennsylvania	1557
